timeStamp,elapsed,responseCode,failureMessage
1601589709938,348,302,
1601589710118,260,302,
1601589710019,451,302,
1601589710218,369,302,
1601589710317,422,302,
1601589710378,364,302,
1601589710289,464,302,
1601589710471,429,302,
1601589710615,310,302,
1601589710414,548,302,
1601589710514,483,302,
1601589710715,288,302,
1601589710739,288,302,
1601589710588,485,302,
1601589710815,337,302,
1601589710963,259,302,
1601589711004,347,302,
1601589711013,354,302,
1601589710925,466,302,
1601589710913,546,302,
1601589710998,472,302,
1601589711153,347,302,
1601589711213,330,302,
1601589711113,448,302,
1601589711367,273,302,
1601589711513,312,302,
1601589711313,565,302,
1601589711414,517,302,
1601589711562,429,302,
1601589711459,597,302,
1601589711544,546,302,
1601589711713,456,302,
1601589711613,558,302,
1601589711812,375,302,
1601589711825,412,302,
1601589711931,347,302,
1601589711879,403,302,
1601589712172,359,302,
1601589712170,487,302,
1601589712187,545,302,
